English,Romanian
say,Spune
they,ei
this,acest
but,dar
at,la
we,noi
his,a lui
from,din
that,acea
not,nu
n't,n't
by,de
or,sau
she,ea
as,la fel de
what,ce
go,merge
their,al lor
will,voi
who,OMS
can,poate sa
get,obține
if,dacă
all,toate
would,ar
her,a ei
make,face
about,despre
my,Ale mele
know,Cunoaște
as,la fel de
there,Acolo
one,unu
up,sus
time,timp
year,an
so,asa de
think,gândi
see,vedea
which,care
when,când
some,niste
them,lor
people,oameni
take,lua
me,pe mine
out,afară
into,în
just,doar
him,#NAME?
come,vino
your,ta
now,acum
could,ar putea
than,decât
like,ca
other,alte
then,apoi
how,Cum
its,este
two,Două
our,al nostru
more,Mai mult
these,aceste
want,vrei
way,cale
no,Nu
look,uite
first,primul
also,de asemenea
new,nou
because,deoarece
day,zi
more,Mai mult
use,utilizare
man,om
here,Aici
find,găsi
give,da
thing,lucru
well,bine
many,mulți
only,numai
those,acestea
tell,spune
very,foarte
one,unu
even,chiar
her,a ei
back,înapoi
any,orice
good,bun
us,ne
through,prin
woman,femeie
life,viaţă
child,copil
there,Acolo
down,jos
work,muncă
after,după
call,apel
may,Mai
world,lume
over,peste
should,ar trebui să
still,încă
try,încerca
in,în
school,şcoală
as,la fel de
last,ultimul
ask,cere
too,de asemenea
need,nevoie
three,Trei
feel,simți
when,când
become,deveni
state,stat
never,nu
between,între
high,înalt
something,ceva
really,într-adevăr
most,cel mai
another,o alta
much,mult
own,propriu
family,familie
out,afară
house,casă
leave,părăsi
put,a pune
old,vechi
on,pe
while,in timp ce
mean,Rău
let,lăsa
why,De ce
president,președinte
keep,a pastra
same,la fel
great,Grozav
begin,ÎNCEPE
big,mare
seem,par
group,grup
country,țară
talk,vorbi
problem,problemă
where,Unde
turn,rotiți
student,student
every,fiecare
hand,mână
help,Ajutor
against,împotriva
start,start
American,american
part,parte
show,spectacol
about,despre
over,peste
might,ar putea
such,astfel de
place,loc
again,din nou
city,oraș
case,caz
most,cel mai
few,puțini
system,sistem
week,săptămână
where,Unde
company,companie
each,fiecare
percent,la sută
hear,auzi
so,asa de
during,pe parcursul
question,întrebare
right,dreapta
program,program
work,muncă
run,alerga
number,număr
small,mic
government,guvern
play,Joaca
off,OFF
move,mutare
like,ca
always,mereu
night,noapte
believe,crede
today,astăzi
hold,ține
point,punct
live,Trăi
happen,întâmpla
bring,aduce
next,Următorul
without,fără
before,inainte de
large,mare
must,trebuie sa
all,toate
war,război
home,Acasă
under,sub
room,cameră
fact,fapt
area,zonă
national,naţional
write,scrie
money,bani
right,dreapta
story,poveste
water,apă
mother,mamă
different,diferit
young,tineri
month,lună
lot,lot
book,carte
eye,ochi
study,studiu
job,loc de munca
kind,drăguț
word,cuvânt
issue,problema
side,latură
four,Patru
business,Afaceri
though,deşi
head,cap
far,departe
long,lung
black,negru
million,milion
both,ambii
little,puțin
yes,da
after,după
since,de cand
around,în jurul
long,lung
provide,furnizați
service,serviciu
important,important
sit,sta
away,departe
